Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:36:19,2018-08-28 12:36:42,"22,832s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:36:20,2018-08-28 12:36:42,"22,012s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:36:20,2018-08-28 12:36:31,"10,697s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:36:31,2018-08-28 12:36:31,"0,019s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:36:31,2018-08-28 12:36:33,"2,549s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:36:33,2018-08-28 12:36:34,"0,225s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:36:34,2018-08-28 12:36:34,"0,319s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:36:34,2018-08-28 12:36:34,"0,186s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:36:34,2018-08-28 12:36:39,"5,209s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:36:39,2018-08-28 12:36:40,"0,110s",PASSED
