Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:54:36,2018-08-28 12:54:55,"18,937s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:54:37,2018-08-28 12:54:55,"18,379s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:54:37,2018-08-28 12:54:45,"7,770s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:54:45,2018-08-28 12:54:45,"0,034s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:54:45,2018-08-28 12:54:46,"1,090s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:54:46,2018-08-28 12:54:47,"0,244s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:54:47,2018-08-28 12:54:47,"0,191s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:54:47,2018-08-28 12:54:47,"0,399s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:54:47,2018-08-28 12:54:53,"5,923s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:54:53,2018-08-28 12:54:53,"0,016s",PASSED
