Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-09 16:43:45,2018-08-09 16:44:42,"56,531s",FAILED
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-09 16:43:45,2018-08-09 16:44:41,"55,782s",FAILED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 16:43:46,2018-08-09 16:43:53,"7,317s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 16:43:53,2018-08-09 16:43:53,"0,102s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-09 16:43:53,2018-08-09 16:43:58,"5,313s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-09 16:43:58,2018-08-09 16:44:06,"7,722s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-09 16:44:06,2018-08-09 16:44:07,"0,431s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-09 16:44:07,2018-08-09 16:44:07,"0,070s",PASSED
click,Firefox 61.0,Установка чекбокса смены руководителя,2018-08-09 16:44:07,2018-08-09 16:44:07,"0,383s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-09 16:44:07,2018-08-09 16:44:07,"0,195s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-09 16:44:07,2018-08-09 16:44:07,"0,153s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-09 16:44:07,2018-08-09 16:44:07,"0,116s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-09 16:44:07,2018-08-09 16:44:08,"0,079s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-09 16:44:08,2018-08-09 16:44:08,"0,261s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-09 16:44:08,2018-08-09 16:44:08,"0,317s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 16:44:08,2018-08-09 16:44:08,"0,329s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 16:44:08,2018-08-09 16:44:09,"0,212s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-09 16:44:09,2018-08-09 16:44:09,"0,252s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-09 16:44:09,2018-08-09 16:44:09,"0,510s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-09 16:44:09,2018-08-09 16:44:41,"31,643s",FAILED
