Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-09 17:07:23,2018-08-09 17:07:55,"32,237s",INCOMPLETE
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-09 17:07:23,2018-08-09 17:07:55,"32,031s",FAILED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 17:07:24,2018-08-09 17:07:30,"6,558s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 17:07:30,2018-08-09 17:07:30,"0,088s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-09 17:07:30,2018-08-09 17:07:36,"5,330s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-09 17:07:36,2018-08-09 17:07:42,"6,708s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-09 17:07:42,2018-08-09 17:07:43,"0,410s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-09 17:07:43,2018-08-09 17:07:43,"0,068s",PASSED
click,Firefox 61.0,Установка чекбокса смены руководителя,2018-08-09 17:07:43,2018-08-09 17:07:43,"0,266s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-09 17:07:43,2018-08-09 17:07:43,"0,118s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-09 17:07:43,2018-08-09 17:07:43,"0,210s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-09 17:07:43,2018-08-09 17:07:44,"0,095s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-09 17:07:44,2018-08-09 17:07:44,"0,073s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-09 17:07:44,2018-08-09 17:07:44,"0,219s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-09 17:07:44,2018-08-09 17:07:44,"0,300s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 17:07:44,2018-08-09 17:07:44,"0,245s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 17:07:44,2018-08-09 17:07:45,"0,233s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-09 17:07:45,2018-08-09 17:07:45,"0,215s",PASSED
delay,Firefox 61.0,//to do: убрать,2018-08-09 17:07:45,2018-08-09 17:07:50,"5,021s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-09 17:07:50,2018-08-09 17:07:50,"0,304s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-09 17:07:50,2018-08-09 17:07:55,"5,289s",FAILED
