Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:59:43,2018-08-28 13:00:13,"29,667s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:59:43,2018-08-28 13:00:11,"27,192s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:59:44,2018-08-28 12:59:55,"11,377s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:59:55,2018-08-28 12:59:55,"0,031s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:59:55,2018-08-28 12:59:58,"2,550s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:59:58,2018-08-28 12:59:59,"0,567s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:59:59,2018-08-28 12:59:59,"0,425s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:59:59,2018-08-28 13:00:00,"0,654s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 13:00:00,2018-08-28 13:00:05,"5,427s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 13:00:05,2018-08-28 13:00:09,"3,468s",PASSED
