Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-09 15:23:32,2018-08-09 15:24:14,"41,476s",FAILED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-09 15:23:32,2018-08-09 15:24:13,"40,780s",FAILED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 15:23:33,2018-08-09 15:23:40,"7,522s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 15:23:40,2018-08-09 15:23:40,"0,101s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия поля ""Имя пользователя""",2018-08-09 15:23:40,2018-08-09 15:23:41,"0,150s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия поля ""Пароль""",2018-08-09 15:23:41,2018-08-09 15:23:41,"0,024s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Войти""",2018-08-09 15:23:41,2018-08-09 15:23:41,"0,017s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Войти по ЭП""",2018-08-09 15:23:41,2018-08-09 15:23:41,"0,034s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия ссылки ""Регистрация""",2018-08-09 15:23:41,2018-08-09 15:23:41,"0,014s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия ссылки ""Восстановление пароля""",2018-08-09 15:23:41,2018-08-09 15:23:41,"0,019s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 15:23:41,2018-08-09 15:23:41,"0,381s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 15:23:41,2018-08-09 15:23:41,"0,072s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-09 15:23:41,2018-08-09 15:23:42,"1,313s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка наличия меню ""Мои задачи""",2018-08-09 15:23:42,2018-08-09 15:24:13,"30,761s",FAILED
