Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:31:07,2018-08-28 12:31:44,"36,510s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:31:07,2018-08-28 12:31:43,"35,795s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:31:08,2018-08-28 12:31:31,"22,740s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:31:31,2018-08-28 12:31:31,"0,046s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:31:31,2018-08-28 12:31:34,"2,782s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:31:34,2018-08-28 12:31:34,"0,161s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:31:34,2018-08-28 12:31:34,"0,310s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:31:34,2018-08-28 12:31:34,"0,202s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:31:34,2018-08-28 12:31:39,"5,307s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:31:39,2018-08-28 12:31:41,"1,697s",PASSED
