Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-28 13:41:44,2018-08-28 13:42:29,"45,487s",PASSED
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-28 13:41:44,2018-08-28 13:42:29,"44,995s",PASSED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-28 13:41:44,2018-08-28 13:41:53,"8,497s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:41:53,2018-08-28 13:41:53,"0,174s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-28 13:41:53,2018-08-28 13:41:58,"5,354s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-28 13:41:58,2018-08-28 13:42:05,"6,505s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-28 13:42:05,2018-08-28 13:42:06,"1,064s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,077s",PASSED
Statement - If (ChangeChief),Firefox 61.0,Проверка необходимости в смене руководителя,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,007s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,175s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,071s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,067s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-28 13:42:06,2018-08-28 13:42:06,"0,057s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-28 13:42:06,2018-08-28 13:42:07,"0,143s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-28 13:42:07,2018-08-28 13:42:07,"0,178s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:42:07,2018-08-28 13:42:07,"0,103s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:42:07,2018-08-28 13:42:07,"0,062s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-28 13:42:07,2018-08-28 13:42:07,"0,189s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-28 13:42:07,2018-08-28 13:42:08,"0,480s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-28 13:42:08,2018-08-28 13:42:27,"19,304s",PASSED
