Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:27:56,2018-08-28 12:28:16,"19,922s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:27:57,2018-08-28 12:28:16,"19,213s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:27:57,2018-08-28 12:28:07,"9,298s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:28:07,2018-08-28 12:28:07,"0,018s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:28:07,2018-08-28 12:28:09,"2,480s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:28:09,2018-08-28 12:28:09,"0,164s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:28:09,2018-08-28 12:28:10,"0,278s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:28:10,2018-08-28 12:28:10,"0,281s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:28:10,2018-08-28 12:28:14,"4,045s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:28:14,2018-08-28 12:28:14,"0,064s",PASSED
