Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:59:09,2018-08-28 12:59:41,"31,916s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:59:10,2018-08-28 12:59:41,"31,433s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:59:10,2018-08-28 12:59:25,"14,758s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:59:25,2018-08-28 12:59:25,"0,138s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:59:25,2018-08-28 12:59:27,"2,085s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:59:27,2018-08-28 12:59:27,"0,201s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:59:27,2018-08-28 12:59:28,"0,942s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:59:28,2018-08-28 12:59:29,"0,497s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:59:29,2018-08-28 12:59:39,"9,886s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:59:39,2018-08-28 12:59:39,"0,158s",PASSED
