Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:50:59,2018-08-28 12:52:18,"1m - 18,760s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:50:59,2018-08-28 12:52:18,"1m - 18,276s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:51:00,2018-08-28 12:51:49,"48,717s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:51:49,2018-08-28 12:51:49,"0,043s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:51:49,2018-08-28 12:51:51,"2,236s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:51:51,2018-08-28 12:51:51,"0,164s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:51:51,2018-08-28 12:51:51,"0,150s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:51:51,2018-08-28 12:51:51,"0,135s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:51:51,2018-08-28 12:51:57,"5,256s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:51:57,2018-08-28 12:52:16,"18,937s",PASSED
