Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 13:16:11,2018-08-28 13:16:29,"17,647s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 13:16:11,2018-08-28 13:16:28,"17,144s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 13:16:12,2018-08-28 13:16:20,"8,661s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 13:16:20,2018-08-28 13:16:20,"0,028s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 13:16:20,2018-08-28 13:16:23,"2,313s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:16:23,2018-08-28 13:16:23,"0,149s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:16:23,2018-08-28 13:16:23,"0,267s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:16:23,2018-08-28 13:16:23,"0,270s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 13:16:23,2018-08-28 13:16:26,"2,993s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 13:16:26,2018-08-28 13:16:26,"0,031s",PASSED
