Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 13:18:08,2018-08-28 13:21:10,"3m - 1,994s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 13:18:09,2018-08-28 13:21:09,"2m - 59,911s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 13:18:20,2018-08-28 13:20:07,"1m - 47,429s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 13:20:07,2018-08-28 13:20:10,"2,109s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 13:20:10,2018-08-28 13:20:39,"29,422s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:20:39,2018-08-28 13:20:42,"2,543s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:20:42,2018-08-28 13:20:44,"2,819s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:20:44,2018-08-28 13:20:45,"0,427s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 13:20:45,2018-08-28 13:20:50,"5,506s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 13:20:50,2018-08-28 13:21:07,"16,425s",PASSED
