Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:53:12,2018-08-28 12:53:26,"14,491s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:53:12,2018-08-28 12:53:26,"14,075s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:53:12,2018-08-28 12:53:19,"6,883s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:53:19,2018-08-28 12:53:19,"0,018s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:53:19,2018-08-28 12:53:20,"1,357s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:53:20,2018-08-28 12:53:21,"0,129s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:53:21,2018-08-28 12:53:21,"0,203s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:53:21,2018-08-28 12:53:21,"0,073s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:53:21,2018-08-28 12:53:24,"2,916s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:53:24,2018-08-28 12:53:24,"0,061s",PASSED
