Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-09 16:48:22,2018-08-09 16:49:06,"44,103s",PASSED
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-09 16:48:22,2018-08-09 16:49:06,"43,390s",PASSED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 16:48:23,2018-08-09 16:48:31,"7,993s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 16:48:31,2018-08-09 16:48:31,"0,128s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-09 16:48:31,2018-08-09 16:48:36,"5,720s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-09 16:48:36,2018-08-09 16:48:44,"7,897s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-09 16:48:44,2018-08-09 16:48:45,"0,443s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-09 16:48:45,2018-08-09 16:48:45,"0,088s",PASSED
click,Firefox 61.0,Установка чекбокса смены руководителя,2018-08-09 16:48:45,2018-08-09 16:48:45,"0,261s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-09 16:48:45,2018-08-09 16:48:45,"0,146s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-09 16:48:45,2018-08-09 16:48:45,"0,175s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-09 16:48:45,2018-08-09 16:48:46,"0,145s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-09 16:48:46,2018-08-09 16:48:46,"0,103s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-09 16:48:46,2018-08-09 16:48:46,"0,226s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-09 16:48:46,2018-08-09 16:48:46,"0,264s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 16:48:46,2018-08-09 16:48:46,"0,242s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 16:48:47,2018-08-09 16:48:47,"0,283s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-09 16:48:47,2018-08-09 16:48:47,"0,225s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-09 16:48:47,2018-08-09 16:48:48,"0,315s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-09 16:48:48,2018-08-09 16:49:06,"18,133s",PASSED
