Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:37:31,2018-08-28 12:37:57,"25,965s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:37:32,2018-08-28 12:37:57,"25,247s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:37:32,2018-08-28 12:37:42,"9,877s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:37:42,2018-08-28 12:37:42,"0,081s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:37:42,2018-08-28 12:37:45,"2,792s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:37:45,2018-08-28 12:37:45,"0,164s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:37:45,2018-08-28 12:37:45,"0,175s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:37:45,2018-08-28 12:37:45,"0,165s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:37:45,2018-08-28 12:37:51,"5,275s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:37:51,2018-08-28 12:37:55,"4,224s",PASSED
