Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 13:18:18,2018-08-28 13:20:45,"2m - 27,525s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 13:18:18,2018-08-28 13:20:41,"2m - 23,101s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 13:18:21,2018-08-28 13:19:43,"1m - 22,209s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 13:19:43,2018-08-28 13:19:43,"0,080s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 13:19:43,2018-08-28 13:20:17,"33,154s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:20:17,2018-08-28 13:20:19,"1,968s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:20:19,2018-08-28 13:20:21,"2,020s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:20:21,2018-08-28 13:20:21,"0,876s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 13:20:21,2018-08-28 13:20:27,"5,740s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 13:20:27,2018-08-28 13:20:39,"11,465s",PASSED
