Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 13:18:01,2018-08-28 13:20:46,"2m - 44,776s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 13:18:02,2018-08-28 13:20:41,"2m - 38,539s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 13:18:05,2018-08-28 13:19:37,"1m - 31,743s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 13:19:37,2018-08-28 13:19:37,"0,121s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 13:19:37,2018-08-28 13:20:05,"28,649s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:20:05,2018-08-28 13:20:07,"1,499s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:20:07,2018-08-28 13:20:12,"4,599s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:20:12,2018-08-28 13:20:12,"0,892s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 13:20:12,2018-08-28 13:20:18,"5,560s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 13:20:18,2018-08-28 13:20:38,"20,172s",PASSED
