Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation_gmail,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438 \u0432 gmail \u043F\u043E\u0447\u0442\u0435,2018-08-09 16:44:43,2018-08-09 16:45:27,"44,238s",FAILED
,,,,,,
Test Cases/Base/Activation_gmail,Firefox 61.0,Активация учетки в gmail письме,2018-08-09 16:44:43,2018-08-09 16:45:27,"43,384s",FAILED
openBrowser,Firefox 61.0,"Открытие формы авторизации на gmail
",2018-08-09 16:44:43,2018-08-09 16:44:49,"5,217s",PASSED
setText,Firefox 61.0,"Ввод email
",2018-08-09 16:44:49,2018-08-09 16:44:49,"0,242s",PASSED
click,Firefox 61.0,Далее,2018-08-09 16:44:49,2018-08-09 16:44:49,"0,345s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 16:44:49,2018-08-09 16:44:49,"0,117s",PASSED
delay,Firefox 61.0,Ожидание 1 секунда (без этого валится с ошибкой),2018-08-09 16:44:49,2018-08-09 16:44:50,"1,017s",PASSED
sendKeys,Firefox 61.0,Далее,2018-08-09 16:44:50,2018-08-09 16:44:50,"0,080s",PASSED
click,Firefox 61.0,Открыть письмо с активационной ссылкой,2018-08-09 16:44:50,2018-08-09 16:44:54,"3,111s",PASSED
click,Firefox 61.0,Перейти по ссылке активации пользователя,2018-08-09 16:44:54,2018-08-09 16:44:54,"0,833s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной активации,2018-08-09 16:44:54,2018-08-09 16:45:27,"32,148s",FAILED
