Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-09 14:56:25,2018-08-09 14:57:31,"1m - 5,411s",FAILED
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-09 14:56:26,2018-08-09 14:57:30,"1m - 4,783s",FAILED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 14:56:26,2018-08-09 14:56:38,"11,785s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 14:56:38,2018-08-09 14:56:38,"0,107s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-09 14:56:38,2018-08-09 14:56:43,"5,410s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-09 14:56:43,2018-08-09 14:56:50,"7,136s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-09 14:56:50,2018-08-09 14:56:51,"0,417s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-09 14:56:51,2018-08-09 14:56:51,"0,048s",PASSED
click,Firefox 61.0,Установка чекбокса смены руководителя,2018-08-09 14:56:51,2018-08-09 14:56:51,"0,255s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-09 14:56:51,2018-08-09 14:56:51,"0,108s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-09 14:56:51,2018-08-09 14:56:51,"0,242s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-09 14:56:51,2018-08-09 14:56:51,"0,084s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-09 14:56:51,2018-08-09 14:56:52,"0,085s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-09 14:56:52,2018-08-09 14:56:52,"0,212s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-09 14:56:52,2018-08-09 14:56:52,"0,264s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 14:56:52,2018-08-09 14:56:52,"0,243s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 14:56:52,2018-08-09 14:56:53,"0,297s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-09 14:56:53,2018-08-09 14:56:53,"0,268s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-09 14:56:53,2018-08-09 14:56:58,"5,494s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-09 14:56:58,2018-08-09 14:57:30,"31,976s",FAILED
