Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation_gmail,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438 \u0432 gmail \u043F\u043E\u0447\u0442\u0435,2018-08-09 16:54:00,2018-08-09 16:54:44,"44,311s",FAILED
,,,,,,
Test Cases/Base/Activation_gmail,Firefox 61.0,Активация учетки в gmail письме,2018-08-09 16:54:00,2018-08-09 16:54:43,"43,623s",FAILED
openBrowser,Firefox 61.0,"Открытие формы авторизации на gmail
",2018-08-09 16:54:00,2018-08-09 16:54:05,"4,862s",PASSED
setText,Firefox 61.0,"Ввод email
",2018-08-09 16:54:05,2018-08-09 16:54:05,"0,199s",PASSED
click,Firefox 61.0,Далее,2018-08-09 16:54:05,2018-08-09 16:54:05,"0,280s",PASSED
verifyElementPresent,Firefox 61.0,Проверка достпности поля пароля,2018-08-09 16:54:05,2018-08-09 16:54:05,"0,036s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 16:54:05,2018-08-09 16:54:06,"0,107s",PASSED
delay,Firefox 61.0,Ожидание 1 секунда (без этого валится с ошибкой),2018-08-09 16:54:06,2018-08-09 16:54:07,"1,015s",PASSED
sendKeys,Firefox 61.0,Далее,2018-08-09 16:54:07,2018-08-09 16:54:07,"0,049s",PASSED
click,Firefox 61.0,Открыть письмо с активационной ссылкой,2018-08-09 16:54:07,2018-08-09 16:54:10,"3,763s",PASSED
click,Firefox 61.0,Перейти по ссылке активации пользователя,2018-08-09 16:54:10,2018-08-09 16:54:11,"0,806s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной активации,2018-08-09 16:54:11,2018-08-09 16:54:43,"32,231s",FAILED
