Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:37:59,2018-08-28 12:38:22,"23,214s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:37:59,2018-08-28 12:38:22,"22,396s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:38:00,2018-08-28 12:38:09,"9,747s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:38:09,2018-08-28 12:38:09,"0,023s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:38:09,2018-08-28 12:38:12,"2,874s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:38:12,2018-08-28 12:38:13,"0,214s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:38:13,2018-08-28 12:38:13,"0,245s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:38:13,2018-08-28 12:38:13,"0,231s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:38:13,2018-08-28 12:38:20,"6,487s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:38:20,2018-08-28 12:38:20,"0,068s",PASSED
