Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:54:04,2018-08-28 12:54:18,"14,424s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:54:04,2018-08-28 12:54:18,"14,005s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:54:04,2018-08-28 12:54:11,"6,808s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:54:11,2018-08-28 12:54:11,"0,016s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:54:11,2018-08-28 12:54:12,"1,167s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:54:12,2018-08-28 12:54:13,"0,107s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:54:13,2018-08-28 12:54:13,"0,326s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:54:13,2018-08-28 12:54:13,"0,129s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:54:13,2018-08-28 12:54:16,"2,928s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:54:16,2018-08-28 12:54:16,"0,071s",PASSED
