Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-09 17:08:02,2018-08-09 17:08:34,"32,271s",INCOMPLETE
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-09 17:08:02,2018-08-09 17:08:34,"32,060s",FAILED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-09 17:08:02,2018-08-09 17:08:09,"6,567s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-09 17:08:09,2018-08-09 17:08:09,"0,078s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-09 17:08:09,2018-08-09 17:08:14,"5,332s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-09 17:08:14,2018-08-09 17:08:21,"6,801s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-09 17:08:21,2018-08-09 17:08:21,"0,403s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-09 17:08:21,2018-08-09 17:08:21,"0,082s",PASSED
click,Firefox 61.0,Установка чекбокса смены руководителя,2018-08-09 17:08:21,2018-08-09 17:08:22,"0,321s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-09 17:08:22,2018-08-09 17:08:22,"0,067s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-09 17:08:22,2018-08-09 17:08:22,"0,166s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-09 17:08:22,2018-08-09 17:08:22,"0,094s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-09 17:08:22,2018-08-09 17:08:22,"0,090s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-09 17:08:22,2018-08-09 17:08:22,"0,279s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-09 17:08:22,2018-08-09 17:08:23,"0,313s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-09 17:08:23,2018-08-09 17:08:23,"0,231s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-09 17:08:23,2018-08-09 17:08:23,"0,263s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-09 17:08:23,2018-08-09 17:08:24,"0,254s",PASSED
delay,Firefox 61.0,//to do: убрать,2018-08-09 17:08:24,2018-08-09 17:08:29,"5,012s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-09 17:08:29,2018-08-09 17:08:29,"0,305s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-09 17:08:29,2018-08-09 17:08:34,"4,963s",FAILED
