Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:53:48,2018-08-28 12:54:03,"15,228s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:53:48,2018-08-28 12:54:03,"14,749s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:53:48,2018-08-28 12:53:55,"6,517s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:53:55,2018-08-28 12:53:55,"0,012s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:53:55,2018-08-28 12:53:56,"1,137s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:53:56,2018-08-28 12:53:56,"0,181s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:53:56,2018-08-28 12:53:57,"0,808s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:53:57,2018-08-28 12:53:57,"0,463s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:53:57,2018-08-28 12:54:00,"3,012s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:54:00,2018-08-28 12:54:01,"0,048s",PASSED
