Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:17:27,2018-08-28 12:18:30,"1m - 2,825s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:17:27,2018-08-28 12:18:30,"1m - 2,230s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:17:28,2018-08-28 12:17:38,"9,708s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:17:38,2018-08-28 12:17:38,"0,017s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:17:38,2018-08-28 12:17:41,"3,473s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:17:41,2018-08-28 12:17:41,"0,179s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:17:41,2018-08-28 12:17:42,"0,259s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:17:42,2018-08-28 12:17:42,"0,223s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:17:42,2018-08-28 12:17:47,"5,271s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:17:47,2018-08-28 12:18:28,"40,521s",PASSED
