Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Routing PZ,Firefox 61.0,\u041F\u043E\u0441\u0442\u0430\u043D\u043E\u0432\u043A\u0430 \u041F\u0417 \u043D\u0430 \u043C\u0430\u0440\u0448\u0440\u0443\u0442 \u0443\u0442\u0432\u0435\u0440\u0436\u0434\u0435\u043D\u0438\u044F,2018-08-28 13:52:30,2018-08-28 13:53:57,"1m - 27,393s",PASSED
,,,,,,
Test Cases/Base/Purchase plan/Routing PZ,Firefox 61.0,Постановка плана закупок на маршрут утверждения,2018-08-28 13:52:30,2018-08-28 13:53:57,"1m - 26,857s",PASSED
callTestCase,Firefox 61.0,Авторизация исполнителем заказчика,2018-08-28 13:52:30,2018-08-28 13:52:44,"13,990s",PASSED
callTestCase,Firefox 61.0,Открыть определенный план закупок,2018-08-28 13:52:44,2018-08-28 13:52:53,"8,277s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""На утверждение""",2018-08-28 13:52:53,2018-08-28 13:52:54,"1,437s",PASSED
waitForElementNotVisible,Firefox 61.0,"Ожидание скрытия перекрывающих кнопку ""Ок"" элементов",2018-08-28 13:52:54,2018-08-28 13:52:54,"0,084s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""ОК""",2018-08-28 13:52:54,2018-08-28 13:52:55,"0,256s",PASSED
waitForElementNotPresent,Firefox 61.0,Проверка успешности операции,2018-08-28 13:52:55,2018-08-28 13:53:55,"1m - 0,342s",PASSED
