Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Authorization,Firefox 61.0,\u0410\u0432\u0442\u043E\u0440\u0438\u0437\u0430\u0446\u0438\u044F,2018-08-28 12:28:48,2018-08-28 12:29:22,"34,439s",PASSED
,,,,,,
Test Cases/Base/Authorization,Firefox 61.0,,2018-08-28 12:28:48,2018-08-28 12:29:22,"33,759s",PASSED
openBrowser,Firefox 61.0,Открывается браузер,2018-08-28 12:28:48,2018-08-28 12:28:59,"10,752s",PASSED
deleteAllCookies,Firefox 61.0,Очищаются куки,2018-08-28 12:28:59,2018-08-28 12:28:59,"0,024s",PASSED
refresh,Firefox 61.0,Обновление странички,2018-08-28 12:28:59,2018-08-28 12:29:02,"2,863s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 12:29:02,2018-08-28 12:29:02,"0,203s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 12:29:02,2018-08-28 12:29:03,"0,220s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 12:29:03,2018-08-28 12:29:03,"0,093s",PASSED
click,Firefox 61.0,"Клик по кнопке ""Войти""",2018-08-28 12:29:03,2018-08-28 12:29:20,"16,996s",PASSED
waitForElementPresent,Firefox 61.0,"Проверка наличия кнопки ""Выход""",2018-08-28 12:29:20,2018-08-28 12:29:20,"0,091s",PASSED
